"main.id","hpq_phiheal_spon_mem.id","phiheal_spon_mem_refno"
"1053373","0","2"
"1053417","0","2"
"1057124","0","7"
"1057125","0","3"
"1057125","1","4"
"1057125","2","5"
"1060633","0","1"
"1060687","0","2"
"1060788","0","2"
"1060812","0","2"
"1061054","0","1"
"1061054","1","2"
"1061056","0","2"
"1061057","0","1"
"1061057","1","2"
"1061058","0","1"
"1061058","1","2"
"1061060","0","1"
"1061060","1","3"
"1061062","0","1"
"1061062","1","2"
"1061065","0","2"
"1061066","0","1"
"1061066","1","2"
"1061067","0","1"
"1061067","1","2"
"1061071","0","1"
"1061074","0","1"
"1061074","1","2"
"1061075","0","1"
"1061075","1","2"
"1061076","0","1"
"1061076","1","2"
"1061079","0","1"
"1061079","1","2"
"1061084","0","1"
"1061084","1","2"
"1061088","0","2"
"1061089","0","1"
"1061091","0","1"
"1061092","0","1"
"1061093","0","1"
"1061094","0","1"
"1061094","1","2"
"1061096","0","1"
"1068059","0","4"
"1068059","1","6"
"1068059","2","7"
"1071948","0","1422268922766"
"1072140","0","1422268922766"
"1072154","0","1422268922767"
"1072170","0","1422268922785"
"1072171","0","1"
"1072171","1","2"
"1072173","0","1"
"1072173","1","2"
"1072508","0","1"
"1072508","1","2"
"1072508","2","3"
"1072508","3","4"
"1072508","4","5"
"779987","0","1"
"1075954","0","1"
"1075954","1","2"
"1075955","0","1"
"1075955","1","2"
"1075956","0","1"
"1075960","0","2"
"1075961","0","1"
"1075965","0","1"
"1075966","0","1"
"1075966","1","2"
"1077848","0","1"
"1077848","1","2"
"1077848","2","3"
"1077848","3","4"
"1077848","4","5"
"1077848","5","6"
"1079790","0","2"
"1079790","1","3"
"1079790","2","4"
"1079790","3","5"
"1042843","0","1"
"1042858","0","1"
"1090509","0","1"
"1090509","1","2"
"1090510","0","1"
"1090510","1","2"
"1090511","0","1"
"1090512","0","1"
"1090513","0","1"
"1090513","1","2"
"1090530","0","1"
