Count of OFFENSES,Column Labels,,,,,,,,,,,,,,,,,,
Row Labels,ATTEMPTED HOMICIDE(PERSONS),ATTEMPTED MURDER(PERSONS),ATTEMPTED PARRICIDE(PERSONS),ATTEMPTED RAPE (Art. 266-A RC & R.A.8353)(PERSONS),ATTEMPTED ROBBERY(PROPERTY),ATTEMPTED THEFT(PROPERTY),CONSUMATED ANTI-CARNAPPING ACT (R.A. 6539) MC(SPECIAL LAWS),CONSUMATED ANTI-CARNAPPING ACT (R.A. 6539) MV(SPECIAL LAWS),CONSUMATED HOMICIDE(PERSONS),CONSUMATED MURDER(PERSONS),CONSUMATED PHYSICAL INJURIES(PERSONS),CONSUMATED RAPE (Art. 266-A RC & R.A.8353)(PERSONS),CONSUMATED ROBBERY(PROPERTY),CONSUMATED THEFT(PROPERTY),FRUSTRATED HOMICIDE(PERSONS),FRUSTRATED MURDER(PERSONS),QUALIFIED THEFT(PROPERTY),SERIOUS PHYSICAL INJURIES(PERSONS),Grand Total
Barangay 68,,,,,,,,,,1,,,,1,,,,,2
Barangay 69,2,,,,,,1,,,2,1,1,,1,,,,,8
Barangay 7,,,,,,,,,,2,,,,,,,,,2
Barangay 70,,,,,,,1,2,,4,1,1,1,2,,,,,12
Barangay 71,,,,,,,1,,,1,,,,1,,,,,3
Barangay 72,,,,,,,,,,1,,,,2,1,,,,4
Barangay 73,,,,,,,1,,,1,1,1,,,,,,,4
Barangay 74,,,,,,,1,,,1,,2,,1,,1,,,6
Barangay 75,2,,,1,,,2,,,3,2,2,2,2,1,,,1,18
Barangay 76,12,2,,,,1,29,17,,36,43,10,22,462,4,7,1,1,647
Barangay 77,,,,,,,,1,,1,1,,1,2,1,,,,7
Barangay 78,,,,,,,,,,2,3,,1,2,,1,,,9
Barangay 79,,,,,,,,,,4,3,,1,8,1,3,,,20
Barangay 8,,,,,,,,,,2,,1,,,,1,,,4
Barangay 80,1,,,,,,,1,,,1,,1,1,1,,,,6
Barangay 81,,,,,,,,,,2,,,,,,1,,,3
Barangay 82,,,,,,,,,,,,,,2,,,,,2
Barangay 83,,,,,,,,,2,,3,,1,16,,,,,22
Barangay 84,,,,,,,,,,,,1,1,,,,,,2
Barangay 85,,,,,,,1,,,1,1,,,,,,,,3
Barangay 87,,,,,,,,,,,1,,,1,1,,,,3
Barangay 88,,,,,,,,,,,,,,1,,1,,,2
Barangay 89,,,,,,,1,,,,,1,,,,,,,2
Barangay 9,,,,,,,,1,,,1,,,2,,,,,4
Barangay 90,1,,,,,,,,,,,,,,,1,,,2
Barangay 91,,,,,,,,,1,,1,1,,,,,,,3
Barangay 92,,,,,,,1,,,,1,,1,8,,,,,11
Barangay 93,,,,,,,,,,1,,,,1,1,,,,3
Barangay 94,,,,,,,,,,3,,2,,,1,,,,6
Barangay 95,1,,,,,,,,1,1,1,,,1,,1,,,6
Barangay 96,,,,,,,1,,,2,,,3,4,,,,,10
Barangay 97,,,,,,,1,1,,1,2,,2,31,,2,,,40
Barangay 98,,,,,,,,,,,,,,2,,,,,2
Barangay 99,,,,,,,,,,1,,1,,,,,,,2
Grand Total,86,18,3,2,2,1,73,51,25,244,182,114,143,893,74,89,1,5,2006
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
CRIMES VS PERSON,,,,,,,,,,,,,,,,,,,
MURDER,244,,,,,,,,,,,,,,,,,,
HOMICIDE,25,,,,,,,,,,,,,,,,,,
PHYSICAL INJURY,457,,,,,,,,,,,,,,,,,,
RAPE,116,,,,,,,,,,,,,,,,,,
SUB-TOTAL,842,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
CRIMES VS PROPERTY,,,,,,,,,,,,,,,,,,,
ROBBERY,145,,,,,,,,,,,,,,,,,,
THEFT,895,,,,,,,,,,,,,,,,,,
MV,51,,,,,,,,,,,,,,,,,,
MC,73,,,,,,,,,,,,,,,,,,
SUB-TOTAL,1164,,,,,,,,,,,,,,,,,,
GRAND TOTAL,2006,,,,,,,,,,,,,,,,,,
