"main.id","hpq_spisc_mem.id","spisc_mem_refno"
"1301678","0","1"
"1301679","0","2"
"1304245","0","1"
"1308011","0","1"
"1308011","1","4"
"1308061","0","1"
"1308061","1","2"
"1327067","0","1"
"1327067","1","2"
"1327085","0","1"
"1337416","0","1"
"1337457","0","8"
"1347409","0","1"
"1349550","0","1"
"1349550","1","2"
"1352108","0","1"
"1348471","0","1"
"1348471","1","2"
"1352588","0","6"
"1348516","0","1"
"1348339","0","1"
"1348343","0","1"
"1348343","1","2"
"1348354","0","1"
"1347915","0","1"
"1347917","0","1"
"1347917","1","2"
"1347920","0","1"
"1347920","1","2"
"1347922","0","1"
"1346516","0","1"
"1346525","0","1"
"1346605","0","1"
"1346605","1","2"
"1346675","0","1"
"1347808","0","1"
"1353840","0","1"
"1353840","1","2"
"1353846","0","1"
"1353846","1","2"
"1355270","0","7"
"1355272","0","1"
"1355273","0","1"
"1355279","0","1"
"1355279","1","2"
"1355280","0","3"
"1355282","0","2"
"1355286","0","6"
"1355296","0","1"
"1355296","1","2"
"1355297","0","1"
"1355298","0","1"
"1355299","0","1"
"1355304","0","1"
"1355305","0","5"
"1355312","0","1"
"1355312","1","2"
"1355424","0","1"
"1355424","1","2"
"1357491","0","1"
"1357491","1","2"
"1358209","0","1"
"1359787","0","1"
"1359787","1","2"
"1359815","0","1"
"1359815","1","2"
"1360900","0","1"
"1360900","1","2"
"1360909","0","1"
"1365828","0","1"
"1368063","0","1"
"1368063","1","2"
"1368765","0","1"
"1368765","1","2"
"1368800","0","1"
"1368802","0","1"
"1368907","0","1"
"1369723","0","1"
"1369723","1","2"
"1369727","0","4"
"1369728","0","1"
"1369728","1","2"
"1370242","0","1"
"1370320","0","2"
"1380469","0","3"
"1380469","1","4"
"1382612","0","1"
"1382632","0","1"
"1383406","0","5"
"1064983","0","2"
"1079996","0","1"
"1089545","0","5"
"1089559","0","1"
"1385167","0","1"
"1385171","0","8"
"1385173","0","1"
"1385176","0","6"
"1385177","0","1"
"1385181","0","7"
"1385186","0","2"
"1385190","0","6"
"1385968","0","1422268922805"
"1385984","0","1"
"1385999","0","1422268922802"
"1385999","1","1422268922803"
"1387217","0","1"
"1387217","1","3"
"1387232","0","1"
"1387232","1","2"
"1387237","0","1"
"1387238","0","1"
"1387238","1","2"
"1388999","0","14"
"1389000","0","1"
"1389006","0","11"
"1389007","0","1"
"1389018","0","16"
"1390065","0","2"
"1391922","0","1"
"1391940","0","1"
"1391940","1","2"
"1391941","0","1"
"1391944","0","6"
"1392295","0","1"
"1392295","1","2"
"1392723","0","1"
"1397212","0","1"
"1397212","1","2"
"1397213","0","1"
"1398469","0","1425016297964"
"1401600","0","1"
"1403030","0","1"
"1403030","1","10"
"1403160","0","1"
"1403169","0","1"
"1403179","0","1"
"1403181","0","1"
"1404901","0","1"
"1404901","1","2"
"1404906","0","1"
"1404906","1","2"
"1404912","0","1"
"1404920","0","1"
"1404920","1","2"
"1404931","0","1"
"1404944","0","2"
"1404952","0","1"
"1404954","0","1"
"1410420","0","1"
"1412209","0","1"
"1412215","0","1"
"1412215","1","2"
"1412220","0","1"
"1412228","0","1"
"1412243","0","1"
"1412243","1","2"
"1412250","0","1"
"1412257","0","1"
"1412259","0","7"
"1412265","0","1"
"1414097","0","2"
"1414098","0","3"
"1414099","0","3"
"1414486","0","1"
"1414486","1","2"
"1414487","0","1"
"1415118","0","1"
"1415131","0","1"
"1415131","1","2"
"1418038","0","1"
"1418132","0","11"
"1418166","0","1"
"1420508","0","1"
"1420520","0","1"
"1420520","1","3"
"1424690","0","1"
"1424692","0","1"
"1424694","0","1"
"1424694","1","2"
"1424696","0","1"
"1424705","0","1"
"1424722","0","1"
"1428056","0","5"
"1428059","0","1"
"1428067","0","1"
"1428067","1","5"
"1428068","0","1"
"1428068","1","4"
"1428070","0","1"
"1428070","1","4"
"1429111","0","1"
"1429111","1","2"
"1429122","0","1"
"1431175","0","1"
"1431175","1","2"
"1432730","0","3"
"1433042","0","4"
"1433042","1","5"
"1433239","0","1"
"1433239","1","2"
"1433961","0","1425016297967"
"1434581","0","1422240830530"
"1434581","1","1422240830531"
"1435694","0","1"
"1435697","0","1"
"1435703","0","1"
"1435704","0","1"
"1435705","0","1"
"1435705","1","2"
"1435709","0","1"
"1436756","0","1"
"1440946","0","1"
"1440946","1","2"
"1440941","0","1"
"1442946","0","1"
"1442946","1","2"
"1443067","0","1"
"1444083","0","1"
"1447314","0","1"
"1449790","0","1425016297967"
"1450265","0","1"
"1450265","1","2"
"1453866","0","1"
"1456085","0","1425016297956"
"1456093","0","1425016297966"
"1418128","0","1"
"1458250","0","1425016297937"
"1458250","1","1425016297936"
"1458888","0","3"
"1458898","0","1"
"1458905","0","1"
"1458905","1","2"
"1460278","0","1"
"1460282","0","1"
"1460282","1","2"
"1473965","0","1"
"1476198","0","1"
"1476201","0","1"
"1476217","0","1"
"1476217","1","2"
"1476233","0","1"
"1476246","0","1"
"1476246","1","2"
"1480777","0","1"
"1480791","0","1"
"1480791","1","2"
"1481527","0","1"
"1487575","0","1"
"1487629","0","1"
"1487629","1","3"
"1487636","0","1"
"1487636","1","2"
"1490596","0","1"
"1490607","0","1"
"1490609","0","1"
"1490610","0","1"
"1505875","0","1"
"1505882","0","1"
"1505882","1","2"
"1505885","0","1"
"1505885","1","2"
"1505888","0","1"
"1505900","0","1"
"1505901","0","1"
"1505903","0","1"
"1508480","0","23"
"1511921","0","1"
"1511922","0","1"
"1511922","1","2"
"1518442","0","1"
"1518442","1","2"
"1518761","0","1"
"1518774","0","1"
"1520236","0","3"
"1532195","0","1"
"1532195","1","2"
"1535850","0","1"
"1535863","0","1"
"1546602","0","1"
"1549689","0","2"
"1549703","0","1"
"1549711","0","4"
"1554239","0","1"
"1554240","0","1"
"1554244","0","1"
"1562191","0","1"
"1562320","0","1"
"1562320","1","2"
"1562320","2","6"
"1562320","3","7"
"1565531","0","2"
"1565531","1","3"
"1565584","0","1"
"1567403","0","1"
"1567403","1","2"
"1568325","0","1"
"1568332","0","4"
"1568336","0","1"
"1568477","0","1"
"1568494","0","1"
"1575428","0","1"
"1575431","0","1"
"1575431","1","2"
"1575433","0","1"
"1575441","0","1"
"1575441","1","2"
"1575444","0","1"
"1575451","0","1"
"1576348","0","1"
"1576348","1","2"
"1576349","0","1"
"1576350","0","1"
"1576350","1","2"
"1576354","0","1"
"1576359","0","1"
"1576367","0","1"
"1576370","0","1"
"1576370","1","2"
"1577319","0","1"
"1577325","0","1"
"1577325","1","2"
"1577327","0","1"
"1577331","0","1"
"1580908","0","2"
"1588846","0","1"
"1588851","0","1"
"1588862","0","1"
"1588862","1","2"
"1591347","0","1"
"1591428","0","2"
"1591430","0","1"
"1591431","0","1"
"1591432","0","1"
"1591433","0","1"
"1591445","0","1"
"1591453","0","1"
"1591455","0","1"
"1591455","1","2"
"1591456","0","2"
"1591465","0","1"
"1591468","0","1"
"1591474","0","1"
"1591475","0","1"
"1591475","1","2"
"1591479","0","5"
"1591493","0","1"
"1593481","0","1"
"1593481","1","2"
"1593491","0","1"
"1593491","1","2"
"1593499","0","1"
"1596298","0","1"
