"main.id","hpq_cct_mem.id","cct_mem_refno"
"204714","0","2"
"204714","1","6"
"204714","2","7"
"204731","0","2"
"204731","1","3"
"204731","2","4"
"204731","3","5"
"204734","0","4"
"204734","1","3"
"204741","0","4"
"204741","1","5"
"204917","0","5"
"204934","0","5"
"204937","0","5"
"204937","1","6"
"207934","0","5"
"207934","1","6"
"207934","2","4"
"204720","0","9"
"208269","0","22"
"208269","1","24"
"208269","2","1"
"208270","0","2"
"208270","1","5"
"208272","0","1"
"208272","1","4"
"208272","2","5"
"208272","3","6"
"208272","4","7"
"208273","0","3"
"208273","1","5"
"208273","2","6"
"208276","0","1"
"208276","1","9"
"208276","2","10"
"208276","3","11"
"208276","4","12"
"215310","0","9"
"215310","1","22"
"215310","2","23"
"215310","3","24"
"215313","0","21"
"215313","1","22"
"215313","2","23"
"215319","0","1"
"215319","1","11"
"215319","2","8"
"215319","3","9"
"215528","0","2"
"215528","1","4"
"215528","2","5"
"215528","3","6"
"220520","0","2"
"220520","1","3"
"224649","0","1"
"224649","1","4"
"224649","2","5"
"224649","3","6"
"224649","4","7"
"224650","0","1"
"224650","1","3"
"224650","2","4"
"224659","0","1"
"224659","1","4"
"224659","2","6"
"224661","0","1"
"224661","1","3"
"224661","2","4"
"224664","0","1"
"224664","1","3"
"224664","2","7"
"224666","0","2"
"224666","1","3"
"224666","2","4"
"224666","3","5"
"224672","0","2"
"224672","1","3"
"224672","2","4"
"224672","3","5"
"224672","4","6"
"224672","5","7"
"224674","0","1"
"224674","1","4"
"224674","2","6"
"224679","0","2"
"224679","1","4"
"224703","0","2"
"224703","1","3"
"224703","2","4"
"224724","0","4"
"224724","1","5"
"224724","2","2"
"224724","3","1"
"224729","0","2"
"224729","1","3"
"224732","0","2"
"224732","1","6"
"224732","2","7"
"224732","3","8"
"224749","0","1"
"224749","1","2"
"224749","2","5"
"224749","3","4"
"224749","4","3"
"224763","0","2"
"224763","1","5"
"224763","2","6"
"224763","3","7"
"224765","0","2"
"224765","1","5"
"224765","2","6"
"224765","3","7"
"225461","0","11"
"222300","0","8"
"222300","1","9"
"222321","0","16"
"222321","1","17"
"222301","0","1"
"222302","0","7"
"222302","1","8"
"222302","2","9"
"224238","0","10"
"224238","1","11"
"224239","0","1"
"222322","0","11"
"222322","1","12"
"222322","2","13"
"222313","0","14"
"222313","1","15"
"222325","0","6"
"222325","1","7"
"222325","2","8"
"225625","0","3"
"225625","1","4"
"225625","2","5"
"225625","3","6"
"225625","4","7"
"225625","5","8"
"226024","0","2"
"226024","1","4"
"226024","2","5"
"226024","3","6"
"226028","0","3"
"226028","1","4"
"226028","2","5"
"226028","3","1"
"226048","0","2"
"226048","1","3"
"226048","2","4"
"233536","0","1"
"233536","1","2"
"233536","2","3"
"233542","0","2"
"233542","1","3"
"233542","2","4"
"233591","0","2"
"233591","1","3"
"233591","2","4"
"233621","0","2"
"233621","1","3"
"233621","2","4"
"233621","3","5"
"233621","4","6"
"233624","0","2"
"233624","1","4"
"233624","2","5"
"233627","0","2"
"233627","1","4"
"234234","0","3"
"234235","0","3"
"234235","1","4"
"234235","2","5"
"234238","0","3"
"234242","0","5"
"235909","0","2"
"235909","1","4"
"235909","2","5"
"235909","3","6"
"235919","0","2"
"235919","1","3"
"235925","0","2"
"235925","1","3"
"235925","2","4"
"235925","3","5"
"235925","4","6"
"235930","0","2"
"235930","1","5"
"235930","2","6"
"235930","3","7"
"235930","4","8"
"235971","0","2"
"235971","1","3"
"235971","2","4"
"235989","0","1"
"235989","1","3"
"235989","2","4"
"236019","0","2"
"236019","1","4"
"236019","2","5"
"236037","0","1"
"236037","1","5"
"236043","0","2"
"236043","1","5"
"236061","0","2"
"236061","1","5"
"236061","2","6"
"236067","0","2"
"236067","1","3"
"236067","2","4"
