"main.id","hpq_phiheal_indiv_mem.id","phiheal_indiv_mem_refno"
"889625","0","1"
"889626","0","1"
"889628","0","1"
"889633","0","1"
"889633","1","2"
"889633","2","3"
"889633","3","4"
"890984","0","1"
"892893","0","2"
"892895","0","1"
"892895","1","2"
"892895","2","3"
"892895","3","4"
"892895","4","5"
"892906","0","1"
"892916","0","1"
"892927","0","1"
"892927","1","2"
"892928","0","1"
"892928","1","2"
"892928","2","3"
"892928","3","4"
"892928","4","5"
"892929","0","1"
"892929","1","2"
"892929","2","3"
"892929","3","4"
"892930","0","1"
"892930","1","2"
"892930","2","3"
"892931","0","1"
"892931","1","2"
"892931","2","3"
"892933","0","1"
"892935","0","1"
"892935","1","2"
"892935","2","3"
"892935","3","4"
"892935","4","5"
"892935","5","6"
"892935","6","7"
"892962","0","2"
"892962","1","3"
"892962","2","4"
"892963","0","2"
"892972","0","1"
"892978","0","1"
"892978","1","2"
"892987","0","1"
"896635","0","2"
"897631","0","6"
"897665","0","2"
"897696","0","1"
"897696","1","2"
"897699","0","1"
"897700","0","1"
"899016","0","1"
"899020","0","1"
"899022","0","1"
"899035","0","1"
"899037","0","1"
"899037","1","2"
"899038","0","2"
"899045","0","1"
"899046","0","1"
"899048","0","1"
"899051","0","1"
"899053","0","1"
"899053","1","2"
"899054","0","2"
"899057","0","1"
"899057","1","2"
"899059","0","1"
"899059","1","2"
"899060","0","1"
"899063","0","1"
"899074","0","2"
"899184","0","2"
"899184","1","3"
"899184","2","4"
"899184","3","5"
"899184","4","6"
"899188","0","4"
"899188","1","3"
"899188","2","2"
"899188","3","1"
"899191","0","1"
"899211","0","1"
"899211","1","6"
"899211","2","5"
"899219","0","1"
"899221","0","2"
"899221","1","5"
"899244","0","1"
"899244","1","2"
"899244","2","3"
"899244","3","4"
"899244","4","5"
"899249","0","4"
"899249","1","5"
"901206","0","1"
"903105","0","2"
"903109","0","1404268386728"
"904240","0","1404268386734"
"896875","0","1"
"896874","0","3"
"896872","0","1"
"896872","1","2"
"904295","0","2"
"913768","0","1"
"913768","1","2"
"913768","2","3"
"913768","3","4"
"914152","0","1"
"914152","1","2"
"914152","2","3"
"914154","0","1"
"914156","0","1"
"914156","1","2"
"914194","0","5"
"914204","0","1"
"914204","1","2"
"916206","0","1"
"916206","1","2"
"916206","2","3"
"916206","3","4"
"916206","4","5"
"920817","0","5"
"923757","0","1"
"923777","0","2"
"924630","0","2"
"924649","0","1"
"924682","0","1"
"924682","1","2"
"924747","0","2"
"924826","0","1"
"924847","0","2"
"926415","0","1"
"926422","0","1"
"926855","0","1425140600393"
"927000","0","1"
"927000","1","2"
"927000","2","3"
"927002","0","1"
"927002","1","2"
"927005","0","1"
"927005","1","2"
"927019","0","1"
"927019","1","2"
"927019","2","4"
"927090","0","1"
"927090","1","2"
"927090","2","3"
"927090","3","4"
"929131","0","1"
"929131","1","2"
"929131","2","3"
"930327","0","1"
"930446","0","1"
"933524","0","1"
"935558","0","3"
"936130","0","2"
"939312","0","2"
"945173","0","1"
"945173","1","2"
"945173","2","3"
"945173","3","4"
"945195","0","1"
"945195","1","2"
"945195","2","3"
"945195","3","4"
"945195","4","5"
"945204","0","1"
"945204","1","2"
"945205","0","1"
"945228","0","1"
"945228","1","2"
"946576","0","2"
"946647","0","5"
"946684","0","2"
"946748","0","4"
"946748","1","5"
"946748","2","7"
"946758","0","2"
"953542","0","1"
"953542","1","2"
"953542","2","5"
"953542","3","6"
"953545","0","1"
"953561","0","2"
"953586","0","1"
"953586","1","2"
"953588","0","1"
"953853","0","1"
"953853","1","2"
"963814","0","4"
"963814","1","5"
"964038","0","2"
"964060","0","1"
"964067","0","1"
"971473","0","4"
"972284","0","2"
"979038","0","1"
"979038","1","2"
"979038","2","13"
"980785","0","1"
"982266","0","1"
"982267","0","2"
"984542","0","1"
"990544","0","1"
"1008097","0","2"
"1008132","0","1"
"1011003","0","1"
"1011011","0","1"
"1015876","0","2"
"1017556","0","1"
"1017556","1","3"
"1017556","2","4"
"1017729","0","1"
"1019841","0","1"
"1025557","0","1"
"1030857","0","2"
"1032673","0","1"
"1032690","0","1"
"1037368","0","1"
"1037372","0","1"
"1037386","0","2"
"1038005","0","2"
"1038013","0","1"
"1038041","0","1"
"1043180","0","2"
"1051092","0","1"
"1051096","0","1"
"1051106","0","2"
"1051109","0","1"
"1051751","0","1"
"1051751","1","2"
"1051784","0","1"
"1051785","0","1"
"1057080","0","1"
"1057080","1","4"
"1057109","0","1"
"1057121","0","1"
"1057133","0","3"
"1060076","0","1"
"1060076","1","2"
"1060645","0","2"
"1060669","0","1"
"1060671","0","1"
"1060673","0","1"
"1060686","0","1"
"1060696","0","2"
"1060697","0","1"
"1060697","1","2"
"1060706","0","1"
"1060710","0","1"
"1060716","0","1"
"1060716","1","3"
"1060717","0","2"
"1060719","0","1"
"1060723","0","2"
"1060726","0","1"
"1060729","0","3"
"1060736","0","1"
"1060742","0","1"
"1060743","0","1"
"1060743","1","2"
"1060744","0","1"
"1060753","0","2"
"1060753","1","5"
"1060764","0","1"
"1060766","0","1"
"1060769","0","2"
"1060785","0","6"
"1060788","0","1"
"1060799","0","2"
"1060802","0","2"
"1060806","0","2"
"1060813","0","1"
"1060816","0","1"
"1060818","0","1"
"1060827","0","1"
"1072496","0","1"
"1072496","1","2"
"1072507","0","2"
"1072507","1","3"
